"SENDUNIT","RECVUNIT","CONTENTS","REASON","PUB_TIME","START_TIME","END_TIME"
"北京区管","上海","限制上海方向南苑,天津落地出UDINO H104航路 30分钟一架","军事活动","201810171657 ","201810172000 ","201810172200 "
"北京区管","上海","限制上海方向北京落地出UDINO H104航路 8分钟一架 60分钟8架,最小间隔40公里","航班时刻","201810171657 ","201810172000 ","201810172200 "
"北京区管","上海","限制上海方向北京落地出P181 H104航路 20分钟一架 60分钟3架,最小间隔10分钟","航班时刻","201810171657 ","201810172000 ","201810172200 "
"北京区管","上海","限制上海方向北京落地出P181 20分钟一架(备注：总量45架)","机场原因","201810171825 ","201810172200 ","201810172358 "
"北京区管","上海","限制上海方向北京落地出UDINO 100公里一架(备注：总量45架)","机场原因","201810171825 ","201810172200 ","201810172358 "
"北京区管","上海","限制上海方向出P181 H104航路只用S0980(备注：常规)","军事活动","201810171900 ","201810180700 ","201810190200 "
"北京区管","上海","限制上海方向南苑,天津,石家庄落地 S0780含以下(备注：常规)","军事活动","201810171900 ","201810180700 ","201810190200 "
"北京区管","上海","限制上海方向出UDINO A593航路 S0980禁用(备注：常规)","军事活动","201810171900 ","201810180700 ","201810190200 "
"北京区管","上海","限制上海方向北京落地出UDINO S0920含以下(备注：常规)","军事活动","201810171953 ","201810180700 ","201810190200 "
"北京区管","上海","限制上海方向大同,呼和浩特落地出FYG只用S0920(备注：常规 杭州0800前起飞不限)","航班时刻","201810191806 ","201810180800 ","201810182300 "
"北京区管","上海","限制上海方向五台山,临汾,运城,太原,石家庄,吕梁落地出FYG S0780含以下(备注：常规 杭州0800前起飞不限)","航班时刻","201810191806 ","201810180800 ","201810182300 "
"北京区管","上海","限制上海方向十堰,襄樊落地出FYG S0780含以下(备注：常规)","航班时刻","201810191806 ","201810180800 ","201810182300 "
"北京区管","上海","限制上海方向出FYG B208航路同高度80公里一架(备注：太原不含以远)","军事活动","201810180817 ","201810180820 ","201810181600 "
