FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,FD9,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD19,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,ISIN,SM,FDD1,FDD2,FDD3,FDD4,FDD5,FDD6,FDD7,ISCHECK,JC,OLD,ISXT,FDAYS,ISTZ,BUREAU,AttenTion
3U8003,321,1234567,ZGNN,0710,0930,ZSWZ,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42352,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8004,321,1234567,ZSWZ,1040,1315,ZGNN,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42353,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8005,319,1234567,ZUUU,0710,0815,ZUDC,,,,,,,,,,,0,,国内,0,0331,1026,42354,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8006,319,1234567,ZUDC,0855,0955,ZUUU,,,,,,,,,,,0,,国内,0,0331,1026,42355,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8007,321,.2.4.6.,ZYHB,0640,0810,ZBLA,,,,,,,,,,,0,或320/319执行,国内,0,0331,1026,42356,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8007,321,1.3.5.7,ZYHB,0640,0810,ZBLA,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,66331,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8008,321,.2.4.6.,ZBLA,0935,1105,ZYHB,,,,,,,,,,,0,或320/319执行,国内,0,0331,1026,42357,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8008,321,1.3.5.7,ZBLA,0935,1105,ZYHB,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,66332,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8023,321,...4.6.,ZUCK,0755,0955,ZGBH,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42362,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8023,321,.2.....,ZUCK,0810,1000,ZGBH,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42363,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8024,321,...4.6.,ZGBH,1040,1235,ZUCK,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42365,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8024,321,.2.....,ZGBH,1045,1240,ZUCK,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42366,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8031,320,......7,ZYHB,1055,1405,ZLIC,1500,1725,ZPLJ,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42369,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8031,320,1.3.5..,ZYHB,1115,1410,ZLIC,1500,1725,ZPLJ,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,66623,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8032,320,1.3.5.7,ZPLJ,1810,2045,ZLIC,2135,0020,ZYHB,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42371,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8033,319,1234567,ZUXC,0900,1125,ZULS,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,72590,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
